sample_id,ybp,sd,context_number,depth_m,C29 Avg,StDev,C31 Avg,StDev,C33 Avg,StDev,C29 Avg,StDev,C31 Avg,StDev,C33 Avg,StDev,d13C_WtAvg,dD_WtAvg
,,,5,0.06,,,,,,,,,,,,,,
,,,2,0.06,-28.5450072,0.255319683733138,-26.8873149,0.08454107530195,-26.498618,0.123243440101736,-149.546666666667,4.33871332693615,-161.906666666667,1.74176156041329,-160.846666666667,1.1496231266521,-25.9140424340544,-158.827499244496
,,,2,0.1,-29.1161039,0.162946547536271,-26.9793276333333,0.135525620267364,-26.825377,0.533480716243213,-156.59,8.20184735288338,-157.476666666667,2.51239593482661,-158.126666666667,3.35201929190948,-26.1146425951812,-157.531736565759
,,,3,0.14,-28.8494945666667,0.087599301377028,-27.0292356,0.245458494288973,-28.3273304333333,0.072986277988423,-171.423333333333,2.11663254565674,-173.343333333333,1.48432925368105,-165.13,1.15052162083117,-26.7168398669886,-170.594530566618
,,,3,0.28,-31.1205566,0.293675090149575,-31.514654,0.11198395623285,,,-118.54,6.61933531406288,-133.333333333333,2.05047149049512,-129.9,4.33796035021068,-31.3621966920661,-128.12305919364
,,,3,0.36,-30.4454108,0.237409239788767,-30.2619566,0.329564861155856,-29.1555074,1.16034964311423,-132.043333333333,6.95300174984397,-133.69,1.27577427470536,-120.343333333333,5.100797323295,-30.0783767719116,-130.416181769158
,,,3,0.42,-31.4668586,1.81299735016838,-31.010942,0.48890039083433,-28.4463038,1.88639741395128,-113.083333333333,9.71710004751074,-111.843333333333,3.08508238679834,-104.253333333333,1.71971896928927,-30.3811432826362,-109.951606064494
,,,44,0.47,-31.4685758,0.187867356824651,-31.2550706,0.223665437332013,-28.400798,0.371775121937603,-133.293333333333,13.2163698999889,-112.403333333333,3.36942626174447,-126.753333333333,11.993007685036,-30.649705714447,-121.164407849328
,,,23,0.5,-31.6938152,0.640967950858107,-31.234178,0.300110280730868,-29.0851022,0.193530674734214,-132.446666666667,1.8600089605519,-139.223333333333,1.99825757432153,-137.436666666667,1.86527031106307,-30.5965592313559,-137.279310254925
UGAMS-8984,9110,30,23,0.5,,,,,,,,,,,,,,
,,,24,0.54,,,,,,,,,,,,,,
,,,26,0.55,,,,,,,,,,,,,,
UGAMS-8985,9320,30,32,0.55,,,,,,,,,,,,,,
,,,55,0.56,,,,,,,,,,,,,,
,,,70,0.6,,,,,,,,,,,,,,
,,,25,0.61,-32.7722282333333,0.433365382855445,-31.0795841,0.019318091883257,-29.146829,0.026022348522567,-138.38,3.00184942993482,-139.27,0.134536240470733,-136.11,0.924175308044964,-30.7262851036448,-138.010601046916
UGAMS-8986,10060,30,136,0.62,,,,,,,,,,,,,,
UGAMS-8987,9870,30,93,0.62,,,,,,,,,,,,,,
,,,30,0.63,-31.9397243333333,0.116499406618459,-31.0517852,0.014728217016326,-29.4919580333333,0.032501951674526,-135.983333333333,1.74161802164923,-143.666666666667,2.07174644523245,,,-30.7422449765145,-141.34399781436
,,,30,0.65,-32.8449116,0.163757177614537,-32.5776008,0.113022550576777,-30.233909,0.132892679396121,-131.36,2.05394741899592,-143.133333333333,1.68298346199045,,,-31.9390150722625,-138.905360755771
UGAMS-11595,25470,70,86,,,,,,,,,,,,,,,
UGAMS-8988,40100,230,60,0.66,,,,,,,,,,,,,,
,,,52,0.67,-31.2816544666667,0.068363874092779,-31.3045763666667,0.035365256489715,-30.1314953,0.665654760523629,-138.983333333333,2.86981416355369,-141.92,2.26123859864456,-140.516666666667,2.92130678521332,-30.9558126317178,-140.658047939202
,,,88/78,0.73,-31.3832882,0.260249294091261,-31.3297688,0.149998017955304,-29.5962554,0.387992527169223,-126.08,7.6220928884395,-139.8,8.37722507755402,,,-30.6739885772773,-135.282285554795
,,,88/78,0.75,-31.8657565,0.062074075893241,-31.38268965,0.103111937178218,-30.22732835,0.147943214212228,-118.256666666667,1.98031142332042,-135.476666666667,1.40143973589068,-132.353333333333,1.72189817739998,-31.1067894809128,-130.387903250752
,,,88/78,0.81,-30.3066038,0.115353157642086,,,,,-134.873333333333,0.465223960403309,-147.863333333333,2.08231441750119,-145.876666666667,2.54158087286896,-30.3066038,-143.66353362384
,,,88/78,0.87,-31.8692558,0.273204847047043,-32.2646411,0.128102717170945,-30.6011036,0.185779295991993,-136.54,1.58559137232769,-153.903333333333,1.64055884787268,-148.796666666667,2.13254151972086,-31.6938364049638,-147.53153241945
