"Depth","Mean","L05","U95"
0,71.58,-58.05,354.05
0.01,528.207,54,2036.85
0.02,861.713,119.9,2844.1
0.03,1150.584,185.85,3258
0.04,1412.43,247,3795.65
0.05,1656.046,309.85,4279.05
0.06,1881.323,369.95,4514.3
0.07,2106.086,435.95,4804.2
0.08,2324.603,499.95,5060.75
0.09,2547.185,566,5465
0.1,2762.845,644.4,5742.6
0.11,2969.854,712,5969.05
0.12,3178.372,797.5,6189.7
0.13,3377.015,917.9,6508.25
0.14,3583.568,1016.75,6784.95
0.15,3792.372,1078.25,6999.1
0.16,3997.566,1200.4,7200.25
0.17,4187.355,1336.25,7413.45
0.18,4378.775,1441.7,7587.2
0.19,4562.49,1553.3,7734.8
0.2,4749.623,1696.1,7821.1
0.21,4934.643,1790.95,8042.4
0.22,5107.985,1992.4,8197.65
0.23,5296.519,2153.1,8316.3
0.24,5487.027,2318.7,8442.55
0.25,5677.074,2538.1,8598.35
0.26,5867.945,2679.7,8772.05
0.27,6047.396,2901,8959.5
0.28,6235.524,3057.45,9047.55
0.29,6424.62,3195.95,9142.05
0.3,6623.828,3334.35,9215.05
0.31,6829.898,3545.5,9290.65
0.32,7026.445,3822.7,9369.15
0.33,7228.866,4172.55,9445.85
0.34,7423.595,4382.35,9515.95
0.35,7625.564,4691.2,9607.55
0.36,7844.119,4945.85,9679.3
0.37,8057.531,5237.25,9744.35
0.38,8279.735,5567.5,9817.05
0.39,8513.546,6099.1,9885.6
0.4,8756.175,6445.9,9957.15
0.41,9008.665,6887.6,10024.05
0.42,9300.375,7301.9,10094
0.43,9640.605,8100.55,10164
0.44,10093.086,9464.2,10268.05
0.45,10257.737,10213.95,10376
0.46,10316.167,10239.9,10427
0.47,10371.774,10272,10476.05
0.48,10429.294,10297,10530
0.49,10515.671,10392.9,10647.1
0.5,10680.553,10502,10998.1
0.51,10827.116,10591.95,11231.9
0.52,10958.422,10651.95,11423.5
0.53,11092.8,10721.9,11659.2
0.54,11228.651,10800,11986
0.55,11379.738,10915.9,12314.2
0.56,14354.769,11188,20688.9
0.57,22955.623,17009.6,31331.9
0.58,29319.094,22392.65,36164.6
0.59,35608.61,27167.5,40073.5
0.6,42545.984,39404.7,45542.6
0.61,45365.737,43203.95,51810.35
0.62,46612.668,43408.9,55491.45
0.63,47628.584,43585.85,57369.75
0.64,48535.008,43758.55,59171.7
0.65,49405.043,43929.3,61098.6
0.66,50282.829,44102.4,62940.4
0.67,51103.999,44286.45,64387.4
0.68,51947.126,44469.65,65972.9
0.69,52732.342,44643.85,68017.4
0.7,53466.346,44851,69095.45
0.71,54204.243,45011.75,70529.85
0.72,55012.899,45198.85,72072.85
0.73,55835.438,45379.7,73445.5
0.74,56618.299,45556.8,74933.95
0.75,57375.686,45735.65,76118.35
0.76,58157.531,45922.8,77675.25
0.77,58913.776,46105.2,79052.05
0.78,59639.692,46246.8,80200.8
0.79,60364.503,46417.8,81197.55
0.8,61141.005,46584.5,82266.6
0.81,61918.352,46823.45,83891.6
0.82,62660.546,47023.75,85201.7
0.83,63393.598,47352.8,86768.95
0.84,64123.136,47581.2,88261.7
0.85,64874.294,47864.6,89281.1
0.86,65602.579,48056.3,90797.75
0.87,66346.295,48222.3,92345.85
